step,loss_no_act,loss_act,entropy_no_act,entropy_act
154,3.14586954,3.14586963,2.12503396,2.12503393
155,2.83196125,2.83196119,2.16752489,2.16752495
156,1.96229798,1.96229798,2.14666355,2.14666359
157,2.06722715,2.06722703,2.16717592,2.16717603
158,2.74254812,2.74254812,2.15465787,2.15465784
159,2.83374208,2.83374195,2.18591078,2.18591088
160,3.45454300,3.45454300,2.22923848,2.22923846
161,2.11622970,2.11622976,2.24143932,2.24143920
162,2.88320267,2.88320267,2.21294217,2.21294213
163,1.50482976,1.50482983,2.19647576,2.19647569
164,2.23823773,2.23823773,2.21040455,2.21040451
165,2.36946857,2.36946857,2.23938743,2.23938745
166,3.21073012,3.21073003,2.12547096,2.12547101
167,2.65747730,2.65747719,2.23213290,2.23213298
168,2.53787259,2.53787250,2.24668761,2.24668764
169,1.75516397,1.75516397,2.19441033,2.19441034
170,1.96149554,1.96149543,2.21754644,2.21754649
171,2.82635263,2.82635263,2.21400818,2.21400823
172,2.99325390,2.99325390,2.16701794,2.16701792
173,2.17992317,2.17992310,2.26194105,2.26194116
174,2.55797457,2.55797457,2.21276300,2.21276300
175,2.03795570,2.03795570,2.23213970,2.23213975
176,2.64209736,2.64209746,2.15718423,2.15718418
177,2.08727870,2.08727876,2.20529277,2.20529268
178,2.19592212,2.19592212,2.18546014,2.18546012
179,3.16522366,3.16522366,2.15594206,2.15594212
180,2.12521453,2.12521465,2.20517986,2.20517975
181,2.02208493,2.02208493,2.24576171,2.24576169
182,2.18853765,2.18853758,2.26696380,2.26696385
183,2.21013535,2.21013535,2.23164445,2.23164442
184,2.26673123,2.26673137,2.24017382,2.24017371
185,2.30950409,2.30950409,2.27863391,2.27863394
186,2.21433952,2.21433952,2.25951081,2.25951084
187,2.08014380,2.08014380,2.25536389,2.25536391
188,2.50181970,2.50181961,2.24341144,2.24341140
189,1.87753604,1.87753604,2.23307706,2.23307710
190,2.81279959,2.81279965,2.22346210,2.22346203
191,2.19398842,2.19398842,2.24065621,2.24065617
192,2.43744093,2.43744093,2.26562626,2.26562626
193,2.27517247,2.27517254,2.21541339,2.21541334
194,2.78939496,2.78939508,2.24013711,2.24013705
195,2.51968710,2.51968720,2.27940666,2.27940652
196,2.42091877,2.42091877,2.26211130,2.26211129
197,2.34291126,2.34291134,2.26253062,2.26253056
198,2.24979109,2.24979102,2.25230848,2.25230853
199,2.53453770,2.53453770,2.27374281,2.27374271
200,2.73810266,2.73810266,2.23662645,2.23662643
201,2.67943961,2.67943972,2.23496678,2.23496666
202,2.34584179,2.34584179,2.16149269,2.16149272
203,2.76497561,2.76497549,2.22266977,2.22266987
204,2.15724179,2.15724185,2.24550705,2.24550708
205,2.01583927,2.01583915,2.21292706,2.21292716
206,2.35110380,2.35110388,2.27241245,2.27241242
207,2.02160204,2.02160193,2.22755723,2.22755730
208,2.14089948,2.14089948,2.26350728,2.26350727
209,2.68106112,2.68106101,2.23494503,2.23494505
210,2.30258656,2.30258656,2.22530876,2.22530875
211,2.39303663,2.39303663,2.23625102,2.23625103
212,2.51660821,2.51660821,2.23449201,2.23449194
213,2.39836331,2.39836323,2.24983373,2.24983379
214,2.61225716,2.61225706,2.22089143,2.22089145
215,2.72214748,2.72214737,2.21905198,2.21905210
216,1.79820405,1.79820405,2.23011542,2.23011543
217,2.35116395,2.35116395,2.22000239,2.22000235
218,2.71480119,2.71480108,2.25090081,2.25090090
219,2.82277423,2.82277436,2.24567439,2.24567432
220,2.35370681,2.35370688,2.27880697,2.27880694
221,2.82344486,2.82344486,2.27245800,2.27245803
222,2.03072635,2.03072635,2.27067451,2.27067455
223,2.28571397,2.28571390,2.29346712,2.29346726
224,1.66749825,1.66749833,2.21805422,2.21805419
225,2.33362365,2.33362365,2.28284067,2.28284068
226,2.04460843,2.04460843,2.27461481,2.27461472
227,2.89327091,2.89327077,2.23232729,2.23232744
228,1.60667457,1.60667457,2.22117166,2.22117161
229,1.98358420,1.98358420,2.25851188,2.25851181
230,2.66025048,2.66025048,2.25815502,2.25815506
231,2.84833179,2.84833173,2.21761573,2.21761581
232,2.83988358,2.83988358,2.23777694,2.23777687
233,3.32169779,3.32169790,2.20892555,2.20892556
234,1.96614829,1.96614829,2.18439492,2.18439498
235,2.19186034,2.19186034,2.20801611,2.20801608
236,3.29866156,3.29866156,2.20070029,2.20070037
237,2.99705074,2.99705074,2.11778443,2.11778444
238,1.27512633,1.27512633,2.05832793,2.05832790
239,2.59678921,2.59678921,2.16227088,2.16227079
240,1.93694134,1.93694134,2.22338556,2.22338563
241,2.46787990,2.46787999,2.19624471,2.19624467
242,3.29200985,3.29200985,2.21530620,2.21530619
243,2.15976607,2.15976600,2.25004530,2.25004535
244,2.22299246,2.22299246,2.25251065,2.25251069
245,1.99741817,1.99741817,2.24730952,2.24730949
246,2.21936261,2.21936268,2.27089589,2.27089584
247,1.81174465,1.81174465,2.27005697,2.27005692
248,2.79237820,2.79237820,2.26832630,2.26832628
249,2.74904747,2.74904735,2.21169251,2.21169251
250,2.34173054,2.34173054,2.21412033,2.21412029
251,1.31183262,1.31183273,2.15489629,2.15489622
252,2.44137208,2.44137217,2.26269416,2.26269406
253,1.90645514,1.90645514,2.23749062,2.23749062
254,2.47100047,2.47100038,2.26955312,2.26955315
255,2.27902685,2.27902677,2.18691429,2.18691431
256,1.94383069,1.94383069,2.22414600,2.22414599
257,2.03163509,2.03163498,2.15887434,2.15887428
258,2.50780380,2.50780389,2.20463805,2.20463798
259,2.28315135,2.28315142,2.25992258,2.25992250
260,2.66483687,2.66483676,2.22412198,2.22412210
261,2.56353203,2.56353193,2.24775471,2.24775476
262,2.23778003,2.23778003,2.26080036,2.26080030
263,2.15404507,2.15404501,2.24831052,2.24831058
264,2.63780729,2.63780740,2.26025123,2.26025119
265,2.94131188,2.94131181,2.24216422,2.24216433
266,2.37873635,2.37873635,2.25334019,2.25334012
267,1.93844972,1.93844972,2.21461675,2.21461675
268,2.58510647,2.58510647,2.14385263,2.14385259
269,3.07342423,3.07342431,2.18035368,2.18035366
270,2.80106692,2.80106692,2.25968401,2.25968399
271,1.86065689,1.86065680,2.23438588,2.23438589
272,2.63334066,2.63334066,2.26357594,2.26357593
273,1.75880099,1.75880099,2.24448175,2.24448173
274,2.17834638,2.17834625,2.23706995,2.23707008
275,2.46021289,2.46021297,2.23411644,2.23411639
276,2.18918632,2.18918626,2.23761829,2.23761835
277,2.31197344,2.31197344,2.21252426,2.21252428
278,2.42896285,2.42896276,2.23221650,2.23221656
279,2.16892735,2.16892735,2.25768836,2.25768832
280,2.82359620,2.82359608,2.21898953,2.21898956
281,2.69633099,2.69633088,2.24797875,2.24797878
282,2.28469223,2.28469216,2.25006935,2.25006942
283,2.18894249,2.18894263,2.24701682,2.24701671
284,2.73469190,2.73469201,2.21576166,2.21576156
285,2.86079297,2.86079310,2.26068749,2.26068745
286,1.59637017,1.59637010,2.23492025,2.23492024
287,1.99580301,1.99580301,2.26551270,2.26551262
288,2.29186075,2.29186075,2.24760006,2.24760003
289,2.10101150,2.10101150,2.21107464,2.21107468
290,2.35705117,2.35705117,2.27843273,2.27843267
291,2.73650689,2.73650678,2.26843635,2.26843647
292,2.38189499,2.38189507,2.24985344,2.24985336
293,2.99508120,2.99508120,2.25201416,2.25201409
294,2.24524668,2.24524668,2.22504531,2.22504533
295,2.19534289,2.19534282,2.23045347,2.23045352
296,2.33287376,2.33287368,2.24015884,2.24015891
297,2.50681879,2.50681888,2.25224272,2.25224275
298,1.97681025,1.97681025,2.25594932,2.25594923
299,3.18037569,3.18037569,2.24932481,2.24932482
300,1.85590915,1.85590915,2.21300727,2.21300722
301,3.25533907,3.25533907,2.23619689,2.23619691
302,2.83873349,2.83873342,2.23328256,2.23328254
303,2.05814292,2.05814280,2.25050931,2.25050937
304,2.53029996,2.53030005,2.26365113,2.26365099
305,2.15028338,2.15028338,2.24399286,2.24399287
306,1.91590302,1.91590302,2.22717522,2.22717525
307,1.87240622,1.87240613,2.25034999,2.25035004
308,3.16377086,3.16377086,2.22993324,2.22993332
309,1.83647312,1.83647303,2.22116305,2.22116309
310,2.39374074,2.39374065,2.22949213,2.22949219
311,2.56847639,2.56847639,2.26478565,2.26478564
312,2.35878347,2.35878347,2.25469462,2.25469454
313,2.16546652,2.16546671,2.22392851,2.22392843
314,2.59469889,2.59469889,2.22594503,2.22594512
315,1.60598530,1.60598515,2.23873769,2.23873771
316,2.16174260,2.16174260,2.22377553,2.22377554
317,2.35905518,2.35905518,2.25457291,2.25457292
318,2.32076991,2.32076976,2.28880849,2.28880848
319,2.38970292,2.38970284,2.25259735,2.25259736
320,2.70224261,2.70224261,2.19093371,2.19093366
321,2.09064301,2.09064295,2.21893296,2.21893305
322,2.21480579,2.21480586,2.18262674,2.18262671
323,2.56266743,2.56266743,2.13955951,2.13955961
324,2.84906161,2.84906161,2.25550553,2.25550555
325,1.97972619,1.97972630,2.23693322,2.23693314
326,2.65636158,2.65636148,2.25436111,2.25436118
327,1.99462854,1.99462854,2.22342497,2.22342495
328,2.10412148,2.10412154,2.23497015,2.23497013
329,2.08331050,2.08331050,2.21383861,2.21383857
330,2.66637878,2.66637878,2.24122648,2.24122652
331,2.44526761,2.44526744,2.23152076,2.23152085
332,1.97489852,1.97489863,2.27219209,2.27219205
333,2.24293864,2.24293857,2.26101691,2.26101696
334,2.07198568,2.07198580,2.21824880,2.21824878
335,2.48821423,2.48821414,2.28083587,2.28083589
336,2.46384669,2.46384661,2.22883481,2.22883485
337,2.27829758,2.27829751,2.18895182,2.18895183
338,2.72100573,2.72100573,2.27930328,2.27930336
339,3.03415702,3.03415694,2.21391021,2.21391028
340,1.76131323,1.76131323,2.16572837,2.16572835
341,2.67010449,2.67010439,2.25854533,2.25854544
342,2.99872125,2.99872118,2.22532128,2.22532136
343,1.41297383,1.41297383,2.17221402,2.17221401
344,2.72146470,2.72146470,2.21124814,2.21124816
345,2.02422098,2.02422098,2.19731539,2.19731538
346,2.32356998,2.32356990,2.24595034,2.24595041
347,2.29893247,2.29893262,2.25878499,2.25878491
348,3.05559892,3.05559885,2.21696905,2.21696912
349,1.97452975,1.97452964,2.13677403,2.13677405
350,1.47384503,1.47384503,2.18535819,2.18535817
351,2.74556524,2.74556513,2.21452600,2.21452603
352,2.40176211,2.40176211,2.21043809,2.21043809
353,2.54400421,2.54400411,2.24194292,2.24194289
354,2.34799097,2.34799105,2.22152319,2.22152318
355,2.68494523,2.68494534,2.23334637,2.23334636
356,1.99848236,1.99848225,2.23534570,2.23534574
357,1.74411574,1.74411566,2.22861738,2.22861742
358,2.65507687,2.65507687,2.22525295,2.22525299
359,2.44412262,2.44412271,2.24884729,2.24884733
360,2.49489850,2.49489841,2.24803552,2.24803558
361,2.22835784,2.22835784,2.27327363,2.27327364
362,2.39607475,2.39607467,2.26672947,2.26672943
363,2.34801421,2.34801421,2.19948694,2.19948694
364,2.20718585,2.20718591,2.24425827,2.24425825
365,2.34126678,2.34126670,2.21527658,2.21527668
366,2.14967032,2.14967038,2.23381278,2.23381274
367,2.11444380,2.11444380,2.21311502,2.21311505
368,1.70875695,1.70875695,2.19319737,2.19319730
369,2.11718896,2.11718896,2.23250923,2.23250925
370,2.78929998,2.78929998,2.25551349,2.25551348
371,2.07822527,2.07822527,2.24679425,2.24679424
372,2.23793863,2.23793870,2.26375761,2.26375750
373,2.65281130,2.65281130,2.24174016,2.24174024
374,2.76610618,2.76610606,2.23967823,2.23967832
375,2.48058063,2.48058063,2.24105338,2.24105338
376,2.09095053,2.09095047,2.26378865,2.26378870
377,2.75802467,2.75802467,2.23124423,2.23124416
378,2.44881991,2.44882000,2.22017050,2.22017039
379,1.94317794,1.94317794,2.22838855,2.22838848
380,3.22601891,3.22601891,2.25512871,2.25512869
381,2.33107525,2.33107525,2.24923070,2.24923059
382,2.78490054,2.78490048,2.16119654,2.16119664
383,2.45393091,2.45393100,2.23769617,2.23769617
384,2.84567129,2.84567135,2.17272992,2.17272991
385,3.48484711,3.48484723,2.13849746,2.13849742
386,2.48305822,2.48305822,2.18978111,2.18978107
387,2.99741174,2.99741182,2.23610466,2.23610471
388,2.39331658,2.39331666,2.22490275,2.22490266
389,3.06722509,3.06722509,2.24641269,2.24641269
390,2.66826852,2.66826852,2.23547355,2.23547358
391,2.17329327,2.17329327,2.27249213,2.27249215
392,2.61157427,2.61157427,2.23863546,2.23863543
393,2.79895412,2.79895412,2.25280005,2.25280006
394,1.94016683,1.94016683,2.25654821,2.25654823
395,1.95784905,1.95784916,2.27045009,2.27045005
396,2.48934010,2.48934001,2.24909198,2.24909202
397,2.02281518,2.02281518,2.23691194,2.23691186
398,2.12651759,2.12651753,2.25662546,2.25662549
399,2.34377641,2.34377641,2.27709204,2.27709205
400,1.94439461,1.94439461,2.25406442,2.25406446
401,2.30081028,2.30081028,2.27371247,2.27371249
402,1.53896043,1.53896050,2.20630531,2.20630531
403,2.59371472,2.59371472,2.18699812,2.18699811
404,2.37397469,2.37397485,2.21795629,2.21795614
405,1.44194237,1.44194212,2.18210606,2.18210607
406,1.95099603,1.95099614,2.21199032,2.21199024
407,2.42211456,2.42211456,2.22286758,2.22286757
408,2.40968836,2.40968836,2.15913562,2.15913565
409,2.50415009,2.50415009,2.18721794,2.18721798
410,2.09249466,2.09249460,2.21243338,2.21243343
411,2.40160802,2.40160802,2.24574485,2.24574489
412,2.26968886,2.26968886,2.21736825,2.21736833
413,2.33196144,2.33196144,2.24055244,2.24055243
414,2.20228782,2.20228782,2.21908589,2.21908582
415,1.89753905,1.89753895,2.19641850,2.19641851
416,2.76597756,2.76597756,2.18520704,2.18520708
417,2.59177048,2.59177038,2.20019956,2.20019965
418,2.86061370,2.86061370,2.26789359,2.26789352
419,2.26681001,2.26681008,2.28176116,2.28176108
420,2.90837289,2.90837283,2.22864048,2.22864056
421,2.17716082,2.17716082,2.21319889,2.21319884
422,2.20281607,2.20281601,2.22403925,2.22403922
423,2.54293430,2.54293421,2.24318637,2.24318644
424,2.29053799,2.29053807,2.28854327,2.28854321
425,2.21912359,2.21912359,2.28121755,2.28121753
426,2.32916658,2.32916666,2.27844535,2.27844528
427,2.11440139,2.11440139,2.28429703,2.28429699
428,2.51113566,2.51113566,2.20053461,2.20053457
429,2.69167516,2.69167527,2.25029422,2.25029419
430,1.97560659,1.97560659,2.25843503,2.25843500
431,1.77622168,1.77622159,2.24234215,2.24234218
432,1.99639022,1.99639022,2.24584202,2.24584207
433,3.05895120,3.05895128,2.25123994,2.25123990
434,1.94315318,1.94315307,2.20653009,2.20653008
435,2.19440839,2.19440832,2.27538302,2.27538310
436,1.95942072,1.95942072,2.25551551,2.25551553
437,2.03055662,2.03055662,2.25827226,2.25827230
438,2.22326731,2.22326731,2.28063936,2.28063932
439,2.40410859,2.40410859,2.25172069,2.25172070
440,2.73596374,2.73596385,2.26080686,2.26080678
441,2.25353429,2.25353429,2.20100068,2.20100061
442,2.77990914,2.77990914,2.22626153,2.22626147
443,2.33084377,2.33084369,2.24425993,2.24426006
444,2.70848732,2.70848732,2.19888796,2.19888798
445,2.97011628,2.97011628,2.19337866,2.19337862
446,2.20899273,2.20899279,2.22931824,2.22931820
447,2.49116191,2.49116200,2.23920401,2.23920400
448,2.21940656,2.21940649,2.27741059,2.27741066
449,2.79452356,2.79452350,2.24643690,2.24643698
450,2.22453586,2.22453579,2.27251667,2.27251673
451,2.03575750,2.03575739,2.25812323,2.25812323
452,2.69563734,2.69563734,2.24588142,2.24588134
453,2.02413920,2.02413920,2.27504107,2.27504110
454,2.15500539,2.15500532,2.25295274,2.25295274
455,2.24433109,2.24433116,2.27407877,2.27407880
456,2.75401600,2.75401611,2.27587488,2.27587489
457,2.34299722,2.34299714,2.23723669,2.23723673
458,2.23217587,2.23217587,2.24385887,2.24385885
459,2.98796426,2.98796404,2.24118563,2.24118577
460,1.88615697,1.88615697,2.27191037,2.27191037
461,2.61824905,2.61824915,2.25940768,2.25940765
462,2.54374056,2.54374056,2.26747997,2.26748004
463,2.46393871,2.46393879,2.27507074,2.27507070
464,2.50534242,2.50534242,2.23737356,2.23737352
465,2.14141130,2.14141130,2.28111632,2.28111630
466,2.67552150,2.67552150,2.24899801,2.24899806
467,2.06466980,2.06466980,2.26079672,2.26079668
468,2.93877974,2.93877967,2.25182440,2.25182436
469,2.35365247,2.35365254,2.25667170,2.25667173
470,2.11465758,2.11465764,2.22974308,2.22974309
471,1.82205364,1.82205364,2.26105815,2.26105814
472,2.71551176,2.71551176,2.25067384,2.25067378
473,2.68889701,2.68889701,2.22817075,2.22817075
474,2.71782693,2.71782681,2.27031143,2.27031148
475,2.56188285,2.56188276,2.25184432,2.25184433
476,2.52242838,2.52242828,2.27740560,2.27740565
477,2.19580541,2.19580547,2.22992844,2.22992832
478,2.49061317,2.49061326,2.25578061,2.25578054
479,2.67783916,2.67783906,2.27128081,2.27128092
480,2.24760744,2.24760744,2.24825255,2.24825253
481,2.77486766,2.77486772,2.23613270,2.23613271
482,2.35050872,2.35050880,2.25436357,2.25436355
483,1.99108869,1.99108869,2.26731503,2.26731505
484,2.19035600,2.19035600,2.21621060,2.21621057
485,2.19535446,2.19535446,2.23314188,2.23314192
486,1.80445754,1.80445754,2.26265858,2.26265851
487,2.46959811,2.46959811,2.23852292,2.23852290
488,2.02378238,2.02378238,2.21480574,2.21480578
489,3.06201593,3.06201593,2.26062426,2.26062416
490,2.69122614,2.69122625,2.27419179,2.27419172
491,2.31533422,2.31533422,2.26920568,2.26920567
492,2.90656842,2.90656842,2.21546182,2.21546184
493,2.72524422,2.72524411,2.23564013,2.23564018
494,2.65273358,2.65273368,2.25048679,2.25048668
495,1.68609398,1.68609406,2.23722640,2.23722630
496,2.19706552,2.19706552,2.22691114,2.22691118
497,2.54416613,2.54416603,2.20445069,2.20445068
498,2.14973011,2.14973011,2.26288675,2.26288671
499,2.71209817,2.71209817,2.27868948,2.27868945
500,2.35631762,2.35631762,2.27529667,2.27529662
501,2.61647712,2.61647712,2.27324370,2.27324371
502,1.89500195,1.89500195,2.24101979,2.24101984
503,2.36932990,2.36932990,2.26022495,2.26022497
504,2.17256446,2.17256446,2.26386788,2.26386781
505,2.19937734,2.19937740,2.27283745,2.27283749
506,2.57837260,2.57837260,2.26876179,2.26876183
507,2.31434910,2.31434917,2.24969157,2.24969151
508,2.70204241,2.70204241,2.26723693,2.26723700
509,2.24607537,2.24607544,2.25559634,2.25559628
510,2.96119887,2.96119887,2.22111601,2.22111600
511,2.16514970,2.16514976,2.23653169,2.23653161
512,3.15480137,3.15480128,2.24397237,2.24397246
513,2.44699307,2.44699316,2.22117070,2.22117060
514,2.58380642,2.58380652,2.15755933,2.15755928
515,1.89614617,1.89614608,2.23093971,2.23093973
516,2.16341215,2.16341215,2.22505573,2.22505570
517,1.92273671,1.92273681,2.24643501,2.24643499
518,1.98354933,1.98354933,2.25904846,2.25904850
519,1.96049379,1.96049389,2.23647126,2.23647124
520,2.34162037,2.34162045,2.26795040,2.26795039
521,3.02194602,3.02194587,2.23867761,2.23867772
522,2.83210927,2.83210914,2.21911670,2.21911671
523,2.36783140,2.36783140,2.28826484,2.28826488
524,2.45959229,2.45959229,2.27056389,2.27056392
525,2.31259230,2.31259238,2.21003167,2.21003166
526,2.97938002,2.97938002,2.23413541,2.23413535
527,1.66477493,1.66477485,2.22276350,2.22276355
528,2.56003802,2.56003793,2.19757209,2.19757210
529,2.19504617,2.19504617,2.23124402,2.23124403
530,2.35216536,2.35216536,2.24676419,2.24676422
531,2.35078343,2.35078351,2.26778574,2.26778572
532,1.95788399,1.95788399,2.27661007,2.27661007
533,2.25089825,2.25089832,2.25847199,2.25847195
534,2.46020739,2.46020748,2.20004226,2.20004214
535,2.52099812,2.52099803,2.24008445,2.24008444
